,a,b,c,d,x,y,z,h,g,f
0,19.08742338214503,-45.94873476834139,45.72789205130565,0,-1.6858622842629432,-44.26287248407844,0,0,47.4137543355686,45.26378181124869
1,20.48749308251652,-35.77783725019898,49.552648078915276,1,-1.5061214515411263,-34.27171579865785,0,0,51.0587695304564,544.311461019569
2,18.69019613363488,-8.861604568995155,48.903701839802785,0,0.05233000399238297,-8.913934572987538,0,0,48.851371835810404,8.15267204800795
3,19.429663830860413,124.43722023239067,48.35753920905111,1,-0.6406837376316908,125.07790397002236,0,0,48.9982229466828,365.286477771824
4,20.909506416521364,113.06707679920142,49.98981604035681,0,0.140450468246198,112.92662633095522,0,0,49.84936557211061,-112.40540994984484
5,21.270830165624677,32.75505743584781,49.92924725864194,1,0.9336651574778715,31.82139227836994,0,0,48.99558210116407,458.344671151503
6,19.86768309098752,-43.759724393362646,49.884207298559794,0,-0.89891313747081,-42.86081125589184,0,0,50.7831204360306,44.18472632498553
7,19.989198579516582,24.214626448781466,50.1372226754236,1,1.0455010626957695,23.169125386085696,0,0,49.09172161272783,467.07512161001046
8,18.728268315119326,11.554934172259065,48.277738815872155,0,-0.31435581964779996,11.869289991906864,0,0,48.592094635519956,-10.97332354054259
9,19.38436488006171,-87.70064941024873,47.41104778108773,1,-0.9364789003845035,-86.76417050986423,0,0,48.34752668147223,569.3128182173105
10,19.318957186120997,-32.51721247486059,51.13008871383971,0,0.1036806499398842,-32.620893124800475,0,0,51.02640806389983,31.52665051886444
11,20.774680737966563,31.496924006780628,51.43141778070277,1,0.16649447970296913,31.33042952707766,0,0,51.264923300999804,480.28305409917425
12,19.688890061769794,48.16132506713453,51.18824624446377,0,0.6772672309234902,47.484057836211036,0,0,50.51097901354028,-46.713441644271406
13,19.3792609202226,-70.70765344816157,50.94902342441173,1,0.916952679840487,-71.62460612800206,0,0,50.03207074457124,572.0621464303804
14,21.205102834692465,-65.4659595709985,47.431900370281205,0,-0.6386730848951222,-64.82728648610339,0,0,48.07057345517633,65.2812581208311
15,18.675923260735466,60.02798014989483,49.30998060697271,1,-0.7360670490591881,60.76404719895402,0,0,50.046047656031895,440.39643079449024
16,18.245204539300296,49.35718276944077,49.91055396754833,0,-0.20159245929622766,49.558775228737,0,0,50.11214642684456,-50.64026337852515
17,19.620925560205897,-106.4749602185501,51.3195170900101,1,1.1218190868888442,-107.59677930543894,0,0,50.19769800312126,610.1322230381028
18,18.976864750744237,26.317611824264773,50.30009610139155,0,0.5541174155876388,25.763494408677133,0,0,49.74597868580391,-26.057943177959952
19,18.339011214787693,-0.9404595935769404,52.3011406434021,1,0.5191842776042728,-1.4596438711812132,0,0,51.781956365797825,519.3728538558231
20,20.848427715037914,12.77230229273832,48.86661479046783,0,-2.1793538214153148,14.951656114153636,0,0,51.04596861188314,-15.348187405973706
21,19.453410887512124,-29.406249526357605,50.87956961495112,1,-0.15010578728453922,-29.256143739073067,0,0,51.02967540223566,539.5559889994161
